WBGene00000428,ceh-1
WBGene00000429,ceh-2
WBGene00000430,ceh-5
WBGene00000431,ceh-6
WBGene00000432,ceh-7
WBGene00000433,ceh-8
WBGene00000434,ceh-9
WBGene00000435,ceh-10
WBGene00000436,ceh-12
WBGene00000437,ceh-13
WBGene00000438,ceh-14
WBGene00000439,ceh-16
WBGene00000440,ceh-17
WBGene00000441,ceh-18
WBGene00000442,ceh-19
WBGene00000443,ceh-20
WBGene00000444,ceh-21
WBGene00000445,ceh-22
WBGene00000446,ceh-23
WBGene00000447,ceh-24
WBGene00000449,ceh-27
WBGene00000450,ceh-28
WBGene00000451,ceh-30
WBGene00000452,ceh-31
WBGene00000453,ceh-32
WBGene00000454,ceh-33
WBGene00000455,ceh-34
WBGene00000457,ceh-36
WBGene00000458,ceh-37
WBGene00000459,ceh-38
WBGene00000460,ceh-39
WBGene00000461,ceh-40
WBGene00000462,ceh-41
WBGene00000463,ceh-43
WBGene00000464,ceh-44
WBGene00000584,cog-1
WBGene00001096,dsc-1
WBGene00001174,egl-5
WBGene00002987,lim-4
WBGene00002988,lim-6
WBGene00002989,lim-7
WBGene00003000,lin-11
WBGene00003024,lin-39
WBGene00003102,mab-5
WBGene00003167,mec-3
WBGene00003377,mls-2
WBGene00003779,nob-1
WBGene00003912,pal-1
WBGene00003939,pax-3
WBGene00004011,pha-2
WBGene00004024,php-3
WBGene00006380,tab-1
WBGene00006652,ttx-1
WBGene00006654,ttx-3
WBGene00006744,unc-4
WBGene00006766,unc-30
WBGene00006775,unc-39
WBGene00006778,unc-42
WBGene00006818,unc-86
WBGene00006870,vab-3
WBGene00006873,vab-7
WBGene00006881,vab-15
WBGene00006970,zag-1
WBGene00007416,ceh-57
WBGene00007417,ceh-58
WBGene00008195,ceh-88
WBGene00008242,ceh-75
WBGene00009231,ceh-89
WBGene00010995,ceh-90
WBGene00011069,ceh-62
WBGene00012584,ceh-100
WBGene00013147,eyg-1
WBGene00013583,ceh-51
WBGene00013876,ceh-74
WBGene00015651,ceh-53
WBGene00015934,ceh-48
WBGene00016557,ceh-84
WBGene00017538,ceh-49
WBGene00018022,ceh-87
WBGene00018355,ceh-86
WBGene00018446,ceh-83
WBGene00018786,hmbx-1
WBGene00019864,ceh-93
WBGene00020485,ceh-54
WBGene00022395,ceh-76
WBGene00022518,zfh-2
WBGene00022837,ceh-45
WBGene00022861,dve-1
WBGene00044032,ceh-99
WBGene00044330,alr-1
WBGene00045215,ceh-63
WBGene00000448,pros-1
WBGene00006796,unc-62
WBGene00007984,irx-1
WBGene00017690,ceh-60
WBGene00013425,ceh-91
WBGene00013431,ceh-92
WBGene00007749,ceh-79
WBGene00018434,ceh-81
WBGene00018433,ceh-82
WBGene00022554,duxl-1
WBGene00044508,nsy-7
