"","NHR","GPCR","insulin","Hyperdiv_NHR","Hyperdiv_GPCR","Hyper_insulin","Nonhyper_NHR","Nonhyper_GPCR","Nonhyper_insulin","Homeodomain","C2H2_ZF","C.type_lectin","F.box","kinase","Conserved_NHR","Non.conserved_NHR"
"ADE",45,46,1,17,9,1,28,37,0,16,87,6,46,147,4,41
"ADF",122,159,10,58,45,4,64,114,6,18,112,12,76,178,6,116
"ADL",130,413,10,62,203,3,68,210,7,20,97,12,85,171,5,125
"AFD",84,86,11,37,25,3,47,61,8,20,80,11,44,144,5,79
"ALM",42,57,4,9,10,1,33,47,3,22,106,8,56,160,3,39
"ALN",5,24,2,1,1,0,4,23,2,5,23,1,18,39,2,3
"AQR",60,105,4,22,24,0,38,81,4,18,95,5,65,168,3,57
"ASEL",82,88,13,38,20,6,44,68,7,20,86,7,52,155,4,78
"ASER",105,105,17,43,26,4,62,79,13,21,89,10,51,172,4,101
"ASG",119,93,2,55,19,1,64,74,1,26,117,11,71,182,7,112
"ASH",128,314,9,62,120,2,66,194,7,15,85,6,60,158,3,125
"ASI",117,177,16,51,46,4,66,131,12,19,103,10,70,175,7,110
"ASJ",144,339,18,65,135,5,79,204,13,23,113,12,84,184,8,136
"ASK",125,292,13,54,101,4,71,191,9,19,106,14,80,186,5,120
"AVM",40,58,3,9,9,2,31,49,1,20,101,6,55,154,2,38
"AWA",109,201,25,49,70,5,60,131,20,23,113,10,66,175,3,106
"AWB",74,140,6,29,40,3,45,100,3,14,67,5,35,120,3,71
"AWC_OFF",93,109,17,41,19,5,52,90,12,16,88,11,60,155,5,88
"AWC_ON",96,116,14,41,31,6,55,85,8,23,88,8,56,155,5,91
"BAG",66,108,7,28,23,1,38,85,6,21,79,11,37,136,4,62
"CEP",63,48,2,25,9,2,38,39,0,19,102,8,63,167,5,58
"FLP",40,58,2,14,12,1,26,46,1,20,89,3,44,138,3,37
"IL1",28,43,0,8,10,0,20,33,0,10,31,4,21,65,1,27
"IL2_DV",75,64,4,29,11,0,46,53,4,18,118,8,81,184,4,71
"IL2_LR",80,92,6,34,21,1,46,71,5,21,117,11,84,187,4,76
"OLL",20,47,0,10,10,0,10,37,0,16,30,1,25,81,0,20
"OLQ",33,61,0,15,17,0,18,44,0,15,62,5,31,108,2,31
"PDE",71,63,1,29,13,0,42,50,1,17,101,9,63,169,4,67
"PHA",93,210,5,44,82,1,49,128,4,21,75,6,49,119,3,90
"PHB",112,223,5,57,90,0,55,133,5,20,83,8,61,146,3,109
"PHC",28,32,2,13,4,0,15,28,2,14,72,4,39,114,1,27
"PLM",41,67,2,9,13,1,32,54,1,23,94,6,54,163,3,38
"PLN",44,40,2,12,7,0,32,33,2,21,110,7,66,160,3,41
"PQR",51,100,3,17,20,1,34,80,2,18,79,8,47,150,2,49
"PVD",43,64,0,13,10,0,30,54,0,21,86,2,36,130,2,41
"PVM",39,91,3,8,17,1,31,74,2,19,79,4,37,128,3,36
"URA",37,54,1,9,4,0,28,50,1,16,94,9,48,139,1,36
"URB",49,102,5,19,17,1,30,85,4,17,81,5,42,138,3,46
"URX",62,94,11,21,14,3,41,80,8,19,104,12,62,180,2,60
"URY",25,42,1,10,8,1,15,34,0,13,45,4,27,82,2,23
